image,MEL,NV,BCC,AKIEC,BKL,DF,VASC
scgan_0024306,0.0,1.0,0.0,0.0,0.0,0.0,0.0
scgan_0024307,0.0,1.0,0.0,0.0,0.0,0.0,0.0
scgan_0024308,0.0,1.0,0.0,0.0,0.0,0.0,0.0
scgan_0024309,0.0,1.0,0.0,0.0,0.0,0.0,0.0
scgan_0024310,1.0,0.0,0.0,0.0,0.0,0.0,0.0
scgan_0024311,0.0,1.0,0.0,0.0,0.0,0.0,0.0
scgan_0024312,0.0,0.0,0.0,0.0,1.0,0.0,0.0
scgan_0024313,1.0,0.0,0.0,0.0,0.0,0.0,0.0
scgan_0024314,0.0,1.0,0.0,0.0,0.0,0.0,0.0
scgan_0024315,1.0,0.0,0.0,0.0,0.0,0.0,0.0
scgan_0024316,0.0,1.0,0.0,0.0,0.0,0.0,0.0
scgan_0024317,0.0,1.0,0.0,0.0,0.0,0.0,0.0
scgan_0024318,0.0,0.0,0.0,0.0,0.0,1.0,0.0
scgan_0024319,0.0,1.0,0.0,0.0,0.0,0.0,0.0
scgan_0024320,0.0,1.0,0.0,0.0,0.0,0.0,0.0
scgan_0024321,0.0,1.0,0.0,0.0,0.0,0.0,0.0
scgan_0024322,0.0,1.0,0.0,0.0,0.0,0.0,0.0
scgan_0024323,1.0,0.0,0.0,0.0,0.0,0.0,0.0
scgan_0024324,0.0,0.0,0.0,0.0,1.0,0.0,0.0
scgan_0024325,0.0,1.0,0.0,0.0,0.0,0.0,0.0
scgan_0024326,0.0,1.0,0.0,0.0,0.0,0.0,0.0
scgan_0024327,0.0,1.0,0.0,0.0,0.0,0.0,0.0
scgan_0024328,0.0,1.0,0.0,0.0,0.0,0.0,0.0
scgan_0024329,0.0,0.0,0.0,1.0,0.0,0.0,0.0
scgan_0024330,0.0,0.0,0.0,0.0,0.0,1.0,0.0
scgan_0024331,0.0,0.0,1.0,0.0,0.0,0.0,0.0
scgan_0024332,0.0,0.0,1.0,0.0,0.0,0.0,0.0
scgan_0024333,1.0,0.0,0.0,0.0,0.0,0.0,0.0
scgan_0024334,0.0,1.0,0.0,0.0,0.0,0.0,0.0
scgan_0024335,0.0,1.0,0.0,0.0,0.0,0.0,0.0
scgan_0024336,0.0,0.0,0.0,0.0,1.0,0.0,0.0
scgan_0024337,0.0,0.0,0.0,0.0,1.0,0.0,0.0
scgan_0024338,0.0,0.0,0.0,0.0,1.0,0.0,0.0
scgan_0024339,0.0,1.0,0.0,0.0,0.0,0.0,0.0
scgan_0024340,0.0,1.0,0.0,0.0,0.0,0.0,0.0
scgan_0024341,0.0,1.0,0.0,0.0,0.0,0.0,0.0
scgan_0024342,0.0,1.0,0.0,0.0,0.0,0.0,0.0
scgan_0024343,0.0,1.0,0.0,0.0,0.0,0.0,0.0
scgan_0024344,0.0,1.0,0.0,0.0,0.0,0.0,0.0
scgan_0024345,0.0,0.0,1.0,0.0,0.0,0.0,0.0
scgan_0024346,0.0,1.0,0.0,0.0,0.0,0.0,0.0
scgan_0024347,0.0,1.0,0.0,0.0,0.0,0.0,0.0
scgan_0024348,0.0,1.0,0.0,0.0,0.0,0.0,0.0
scgan_0024349,0.0,1.0,0.0,0.0,0.0,0.0,0.0
scgan_0024350,0.0,1.0,0.0,0.0,0.0,0.0,0.0
scgan_0024351,1.0,0.0,0.0,0.0,0.0,0.0,0.0
scgan_0024352,0.0,1.0,0.0,0.0,0.0,0.0,0.0
scgan_0024353,0.0,1.0,0.0,0.0,0.0,0.0,0.0
scgan_0024354,0.0,1.0,0.0,0.0,0.0,0.0,0.0
scgan_0024355,0.0,1.0,0.0,0.0,0.0,0.0,0.0
scgan_0024356,0.0,1.0,0.0,0.0,0.0,0.0,0.0
scgan_0024357,0.0,1.0,0.0,0.0,0.0,0.0,0.0
scgan_0024358,0.0,0.0,0.0,0.0,1.0,0.0,0.0
scgan_0024359,0.0,1.0,0.0,0.0,0.0,0.0,0.0
scgan_0024360,0.0,0.0,1.0,0.0,0.0,0.0,0.0
scgan_0024361,0.0,1.0,0.0,0.0,0.0,0.0,0.0
scgan_0024362,0.0,1.0,0.0,0.0,0.0,0.0,0.0
scgan_0024363,0.0,1.0,0.0,0.0,0.0,0.0,0.0
scgan_0024364,0.0,1.0,0.0,0.0,0.0,0.0,0.0
scgan_0024365,0.0,1.0,0.0,0.0,0.0,0.0,0.0
scgan_0024366,0.0,1.0,0.0,0.0,0.0,0.0,0.0
scgan_0024367,1.0,0.0,0.0,0.0,0.0,0.0,0.0
scgan_0024368,0.0,1.0,0.0,0.0,0.0,0.0,0.0
scgan_0024369,0.0,1.0,0.0,0.0,0.0,0.0,0.0
scgan_0024370,0.0,0.0,0.0,0.0,0.0,0.0,1.0
scgan_0024371,0.0,0.0,0.0,0.0,1.0,0.0,0.0
scgan_0024372,0.0,0.0,0.0,1.0,0.0,0.0,0.0
scgan_0024373,0.0,1.0,0.0,0.0,0.0,0.0,0.0
scgan_0024374,0.0,1.0,0.0,0.0,0.0,0.0,0.0
scgan_0024375,0.0,0.0,0.0,0.0,0.0,0.0,1.0
scgan_0024376,0.0,1.0,0.0,0.0,0.0,0.0,0.0
scgan_0024377,0.0,1.0,0.0,0.0,0.0,0.0,0.0
scgan_0024378,0.0,1.0,0.0,0.0,0.0,0.0,0.0
scgan_0024379,0.0,1.0,0.0,0.0,0.0,0.0,0.0
scgan_0024380,0.0,1.0,0.0,0.0,0.0,0.0,0.0
scgan_0024381,0.0,0.0,0.0,0.0,1.0,0.0,0.0
scgan_0024382,0.0,0.0,0.0,0.0,1.0,0.0,0.0
scgan_0024383,0.0,0.0,0.0,0.0,1.0,0.0,0.0
scgan_0024384,0.0,1.0,0.0,0.0,0.0,0.0,0.0
scgan_0024385,0.0,1.0,0.0,0.0,0.0,0.0,0.0
scgan_0024386,0.0,0.0,0.0,0.0,0.0,1.0,0.0
scgan_0024387,0.0,1.0,0.0,0.0,0.0,0.0,0.0
scgan_0024388,0.0,1.0,0.0,0.0,0.0,0.0,0.0
scgan_0024389,0.0,1.0,0.0,0.0,0.0,0.0,0.0
scgan_0024390,0.0,1.0,0.0,0.0,0.0,0.0,0.0
scgan_0024391,0.0,1.0,0.0,0.0,0.0,0.0,0.0
scgan_0024392,0.0,1.0,0.0,0.0,0.0,0.0,0.0
scgan_0024393,0.0,1.0,0.0,0.0,0.0,0.0,0.0
scgan_0024394,0.0,1.0,0.0,0.0,0.0,0.0,0.0
scgan_0024395,0.0,1.0,0.0,0.0,0.0,0.0,0.0
scgan_0024396,0.0,0.0,0.0,0.0,0.0,1.0,0.0
scgan_0024397,0.0,1.0,0.0,0.0,0.0,0.0,0.0
scgan_0024398,0.0,1.0,0.0,0.0,0.0,0.0,0.0
scgan_0024399,0.0,1.0,0.0,0.0,0.0,0.0,0.0
scgan_0024400,1.0,0.0,0.0,0.0,0.0,0.0,0.0
scgan_0024401,0.0,1.0,0.0,0.0,0.0,0.0,0.0
scgan_0024402,0.0,0.0,0.0,0.0,0.0,0.0,1.0
scgan_0024403,0.0,0.0,1.0,0.0,0.0,0.0,0.0
scgan_0024404,0.0,1.0,0.0,0.0,0.0,0.0,0.0
scgan_0024405,0.0,1.0,0.0,0.0,0.0,0.0,0.0
scgan_0024406,0.0,1.0,0.0,0.0,0.0,0.0,0.0
scgan_0024407,0.0,1.0,0.0,0.0,0.0,0.0,0.0
scgan_0024408,0.0,0.0,0.0,0.0,1.0,0.0,0.0
scgan_0024409,0.0,0.0,0.0,0.0,1.0,0.0,0.0
scgan_0024410,1.0,0.0,0.0,0.0,0.0,0.0,0.0
scgan_0024411,0.0,0.0,1.0,0.0,0.0,0.0,0.0
scgan_0024412,0.0,0.0,0.0,0.0,1.0,0.0,0.0
scgan_0024413,0.0,1.0,0.0,0.0,0.0,0.0,0.0
scgan_0024414,0.0,1.0,0.0,0.0,0.0,0.0,0.0
scgan_0024415,0.0,1.0,0.0,0.0,0.0,0.0,0.0
scgan_0024416,0.0,1.0,0.0,0.0,0.0,0.0,0.0
scgan_0024417,0.0,1.0,0.0,0.0,0.0,0.0,0.0
scgan_0024418,0.0,0.0,0.0,1.0,0.0,0.0,0.0
scgan_0024419,0.0,1.0,0.0,0.0,0.0,0.0,0.0
scgan_0024420,0.0,0.0,0.0,0.0,1.0,0.0,0.0
scgan_0024421,0.0,1.0,0.0,0.0,0.0,0.0,0.0
scgan_0024422,0.0,0.0,0.0,0.0,1.0,0.0,0.0
scgan_0024423,0.0,1.0,0.0,0.0,0.0,0.0,0.0
scgan_0024424,0.0,1.0,0.0,0.0,0.0,0.0,0.0
scgan_0024425,0.0,1.0,0.0,0.0,0.0,0.0,0.0
scgan_0024426,0.0,0.0,0.0,0.0,1.0,0.0,0.0
scgan_0024427,0.0,1.0,0.0,0.0,0.0,0.0,0.0
scgan_0024428,0.0,1.0,0.0,0.0,0.0,0.0,0.0
scgan_0024429,0.0,1.0,0.0,0.0,0.0,0.0,0.0
scgan_0024430,0.0,1.0,0.0,0.0,0.0,0.0,0.0
scgan_0024431,0.0,0.0,1.0,0.0,0.0,0.0,0.0
scgan_0024432,0.0,0.0,1.0,0.0,0.0,0.0,0.0
scgan_0024433,0.0,1.0,0.0,0.0,0.0,0.0,0.0
scgan_0024434,0.0,1.0,0.0,0.0,0.0,0.0,0.0
scgan_0024435,0.0,0.0,0.0,0.0,1.0,0.0,0.0
scgan_0024436,0.0,0.0,1.0,0.0,0.0,0.0,0.0
scgan_0024437,0.0,1.0,0.0,0.0,0.0,0.0,0.0
scgan_0024438,0.0,1.0,0.0,0.0,0.0,0.0,0.0
scgan_0024439,0.0,1.0,0.0,0.0,0.0,0.0,0.0
scgan_0024440,0.0,1.0,0.0,0.0,0.0,0.0,0.0
scgan_0024441,0.0,1.0,0.0,0.0,0.0,0.0,0.0
scgan_0024442,0.0,1.0,0.0,0.0,0.0,0.0,0.0
scgan_0024443,0.0,0.0,1.0,0.0,0.0,0.0,0.0
scgan_0024444,0.0,1.0,0.0,0.0,0.0,0.0,0.0
scgan_0024445,0.0,0.0,0.0,0.0,1.0,0.0,0.0
scgan_0024446,0.0,0.0,0.0,0.0,1.0,0.0,0.0
scgan_0024447,0.0,1.0,0.0,0.0,0.0,0.0,0.0
scgan_0024448,0.0,0.0,1.0,0.0,0.0,0.0,0.0
scgan_0024449,1.0,0.0,0.0,0.0,0.0,0.0,0.0
scgan_0024450,0.0,0.0,0.0,1.0,0.0,0.0,0.0
scgan_0024451,0.0,1.0,0.0,0.0,0.0,0.0,0.0
scgan_0024452,0.0,0.0,1.0,0.0,0.0,0.0,0.0
